#auto generated file!
1452.0;26;26;27;26;16;20;4;10;6;11;8;7;5;8
1458.0;26;26;26;27;16;19;4;10;6;11;8;7;5;9
1464.0;26;26;26;27;17;19;4;8;6;11;8;10;4;8
1470.0;26;27;28;28;17;19;3;7;6;10;8;10;3;8
1476.0;26;27;28;28;16;20;3;6;5;10;9;10;3;9
1482.0;25;28;28;28;16;20;4;6;4;10;9;10;3;9
1488.0;25;29;26;29;16;21;4;6;6;11;8;10;2;7
1494.0;26;29;25;29;16;22;4;6;7;10;8;9;2;7
1500.0;26;29;25;28;17;22;4;6;7;10;8;8;2;8
1506.0;26;29;26;28;16;20;4;7;8;10;8;8;2;8
1512.0;27;29;26;28;16;20;4;7;7;10;8;8;2;8
1518.0;28;29;26;28;16;20;5;6;6;10;9;7;2;8
1524.0;30;30;25;29;15;19;5;5;7;10;9;7;2;7
1530.0;30;31;25;27;16;18;6;6;8;9;9;6;2;7
1536.0;30;30;25;27;16;16;7;6;10;10;9;6;3;5
1542.0;28;30;26;27;16;16;7;5;11;10;9;7;3;5
1548.0;27;30;26;25;16;16;7;5;10;11;9;10;4;4
1554.0;28;29;26;25;16;16;6;4;11;11;8;10;4;6
1560.0;29;29;26;26;16;15;7;4;12;10;7;8;4;7
1566.0;28;30;26;26;15;15;8;5;14;9;5;8;4;7
1572.0;28;30;27;27;15;14;8;6;13;10;3;8;4;7
1578.0;27;30;28;26;16;15;8;7;12;9;3;8;3;8
1584.0;29;29;28;24;16;14;9;6;14;6;5;9;4;7
1590.0;29;28;27;24;17;13;9;6;14;7;5;9;5;7
1596.0;29;27;30;23;16;13;10;6;11;7;6;9;5;8
1602.0;29;28;29;23;16;12;9;6;11;7;6;11;5;8
1608.0;30;30;29;23;17;12;8;4;10;7;7;10;5;8
1614.0;30;30;28;21;17;13;8;4;12;6;8;11;4;8
1620.0;30;29;28;21;17;12;8;3;12;10;7;10;4;9
1626.0;30;28;28;20;18;14;9;3;11;11;7;8;4;9
1632.0;30;28;27;20;18;14;8;3;10;10;9;9;6;8
1638.0;28;29;27;18;18;16;8;3;9;11;9;9;6;9
1644.0;28;28;28;18;17;16;8;3;10;11;9;9;7;8
1650.0;28;28;26;18;17;17;9;3;10;11;9;8;7;9
1656.0;28;30;23;19;17;18;8;5;10;11;7;9;6;9
1662.0;29;29;22;19;20;17;8;4;9;12;6;10;6;9
1668.0;28;30;21;17;20;17;8;5;8;12;7;11;5;11
1674.0;25;31;22;19;20;17;9;5;7;11;8;11;4;11
1680.0;25;31;20;18;20;17;8;5;8;11;9;11;6;11
1686.0;26;30;21;18;20;17;9;4;7;11;9;11;6;11
1692.0;26;30;22;17;20;17;9;4;8;12;8;11;5;11
1698.0;26;29;23;17;18;17;10;5;8;12;7;10;6;12
1704.0;27;29;23;16;18;17;11;6;8;11;6;9;6;13
1710.0;26;29;23;15;18;17;10;7;8;12;7;8;8;12
1716.0;26;28;23;16;18;17;10;6;7;12;7;8;9;13
1722.0;26;27;23;16;19;17;10;7;8;12;7;7;9;12
1728.0;27;27;23;16;19;17;10;7;7;14;6;7;8;12
1734.0;27;25;23;15;18;17;11;7;7;13;8;9;8;12
1740.0;28;24;22;16;16;16;11;7;9;13;9;8;10;11
